Stkcd,Stknme,Ppdadt,Annocont,Exdistdt,Price2,f,mktret_t,ret_t,ret_t30,Listdt,age,Price_ex,abret_t
600079,人福医药,2015/4/25,10转增10股派1.5元(含税),2015/7/22,20.04,1,0.027241,-0.006487,-0.2024,1997/6/6,18,10.02,-0.033728
2288,超华科技,2015/4/29,10转增10股派0.1元(含税),2015/6/1,14.27,1,0.026451,0.10021,-0.5701,2009/9/3,6,7.135,0.073759
600594,益佰制药,2015/4/29,10转增10股派1.2元(含税),2015/7/16,27.95,1,0.044813,0.053667,-0.4846,2004/3/23,11,13.975,0.008854
2030,达安基因,2015/4/9,10送2股派0.5元(含税),2015/6/17,56.5,0.2,-0.039191,-0.024779,-0.1327,2004/8/9,11,47.08333333,0.014412
2364,中恒电气,2015/4/17,10转增8送2股派0.3元(含税),2015/5/19,34.84,1,0.011565,0.099885,-0.3288,2010/3/5,5,17.42,0.08832
600613,神奇制药,2015/4/30,10转增2股派0.65元(含税),2015/7/6,15.89,0.2,-0.02927,-0.100063,0.3531,1992/8/20,23,13.24166667,-0.070793
900904,神奇B股,2015/4/30,10转增2股派0.10622美元(含税),2015/7/6,1.617,0.2,-0.02927,-0.100186,0.1519,1992/7/22,23,1.3475,-0.070916
2041,登海种业,2015/4/30,10转增1送14股派3.5元(含税),2015/6/10,23.88,1.5,0.007518,-0.025544,-0.1225,2005/4/18,10,9.552,-0.033062
2244,滨江集团,2015/5/14,10转增4送6股派1.5元(含税),2015/7/10,8.44,1,0.033561,0.099526,-0.0991,2008/5/29,7,4.22,0.065965
600371,万向德农,2015/6/13,10送1股派0.36元(含税),2015/7/14,18.4,0.1,-0.036169,-0.1,-0.1818,2002/9/16,13,16.72727273,-0.063831
